Instrument,Date,Time,Open,High,Low,Close,VWAP,Range,ClosePercent
NFO:NIFTY2641324050CE,2026-04-10,11:55,112.35,121.0,112.35,120.15,123.35,8.65,90.17
NFO:NIFTY2641324050CE,2026-04-10,12:00,120.85,123.05,118.3,121.75,123.30,4.75,72.63
NFO:NIFTY2641324050CE,2026-04-10,12:05,121.75,130.25,119.6,129.5,123.29,10.65,92.96
NFO:NIFTY2641324050CE,2026-04-10,12:10,129.5,133.5,127.1,132.3,123.43,6.40,81.25
NFO:NIFTY2641324050CE,2026-04-10,12:15,132.3,133.45,128.25,128.25,123.60,5.20,0.00
NFO:NIFTY2641324050CE,2026-04-10,12:20,128.25,130.45,122.7,127.15,123.72,7.75,57.42
NFO:NIFTY2641324050CE,2026-04-10,12:25,126.85,134.6,123.15,134.6,123.76,11.45,100.00
NFO:NIFTY2641324050CE,2026-04-10,12:30,134.6,140.35,124.7,129.7,124.15,15.65,31.95
NFO:NIFTY2641324050CE,2026-04-10,12:35,130.15,132.2,126.9,127.65,124.31,5.30,14.15
NFO:NIFTY2641324050CE,2026-04-10,12:40,127.65,132.7,127.05,130.55,124.40,5.65,61.95
NFO:NIFTY2641324050CE,2026-04-10,12:45,130.55,133.45,124.4,124.4,124.50,9.05,0.00
NFO:NIFTY2641324050CE,2026-04-10,12:50,124.4,131.5,123.7,128.15,124.55,7.80,57.05
NFO:NIFTY2641324050CE,2026-04-10,12:55,128.05,128.05,121.6,125.95,124.58,6.45,67.44
NFO:NIFTY2641324050CE,2026-04-10,13:00,125.95,126.45,120.3,125.05,124.58,6.15,77.24
NFO:NIFTY2641324050CE,2026-04-10,13:05,125.05,129.85,123.85,129.1,124.60,6.00,87.50
NFO:NIFTY2641324050CE,2026-04-10,13:10,129.1,132.8,126.15,130.6,124.65,6.65,66.92
NFO:NIFTY2641324050CE,2026-04-10,13:15,130.6,130.75,120.0,122.45,124.70,10.75,22.79
NFO:NIFTY2641324050CE,2026-04-10,13:20,122.45,126.8,120.8,121.45,124.67,6.00,10.83
NFO:NIFTY2641324050CE,2026-04-10,13:25,121.45,123.85,120.05,121.35,124.65,3.80,34.21
NFO:NIFTY2641324050CE,2026-04-10,13:30,121.0,126.2,120.0,124.6,124.63,6.20,74.19
NFO:NIFTY2641324050CE,2026-04-10,13:35,124.6,128.85,121.25,122.25,124.63,7.60,13.16
NFO:NIFTY2641324050CE,2026-04-10,13:40,122.25,127.25,118.3,126.6,124.61,8.95,92.74
NFO:NIFTY2641324050CE,2026-04-10,13:45,126.6,134.5,126.6,132.3,124.66,7.90,72.15
NFO:NIFTY2641324050CE,2026-04-10,13:50,131.95,137.15,124.25,126.0,124.87,12.90,13.57
NFO:NIFTY2641324050CE,2026-04-10,13:55,126.15,130.75,123.05,129.95,124.95,7.70,89.61
NFO:NIFTY2641324050CE,2026-04-10,14:00,129.4,147.3,128.75,143.65,125.07,18.55,80.32
NFO:NIFTY2641324050CE,2026-04-10,14:05,143.4,148.0,138.05,140.0,125.92,9.95,19.60
NFO:NIFTY2641324050CE,2026-04-10,14:10,140.1,142.35,134.75,138.95,126.31,7.60,55.26
NFO:NIFTY2641324050CE,2026-04-10,14:15,139.35,144.25,114.2,129.3,126.57,30.05,50.25
NFO:NIFTY2641324050CE,2026-04-10,14:20,129.3,129.3,88.85,114.9,125.99,40.45,64.40
NFO:NIFTY2641324050CE,2026-04-10,14:25,115.45,121.2,98.05,99.45,125.52,23.15,6.05
NFO:NIFTY2641324050CE,2026-04-10,14:30,99.45,100.9,93.85,98.9,124.89,7.05,71.63
NFO:NIFTY2641324050CE,2026-04-10,14:35,98.9,108.0,97.3,102.4,124.46,10.70,47.66
NFO:NIFTY2641324050CE,2026-04-10,14:40,102.3,105.6,95.65,101.15,124.06,9.95,55.28
NFO:NIFTY2641324050CE,2026-04-10,14:45,101.15,111.3,100.45,110.25,123.74,10.85,90.32
NFO:NIFTY2641324050CE,2026-04-10,14:50,110.25,130.1,104.2,128.2,123.48,25.90,92.66
NFO:NIFTY2641324050CE,2026-04-10,14:55,128.2,128.2,114.35,117.05,123.40,13.85,19.49
NFO:NIFTY2641324050CE,2026-04-10,15:00,117.05,123.45,117.05,118.45,123.34,6.40,21.88
NFO:NIFTY2641324050CE,2026-04-10,15:05,119.15,136.15,118.65,136.1,123.35,17.50,99.71
NFO:NIFTY2641324050CE,2026-04-10,15:10,136.3,149.5,136.3,146.9,123.88,13.20,80.30
NFO:NIFTY2641324050CE,2026-04-10,15:15,146.9,158.1,145.4,147.35,124.64,12.70,15.35
NFO:NIFTY2641324050CE,2026-04-10,15:20,147.35,149.65,139.3,145.3,125.15,10.35,57.97
NFO:NIFTY2641324050CE,2026-04-10,15:25,145.3,145.9,139.9,143.65,125.38,6.00,62.50
NFO:NIFTY2641324050CE,2026-04-10,15:30,143.65,145.9,139.9,143.65,125.38,6.00,62.50
